しれとこだけ,知床岳,https://maps.gsi.go.jp/#15/44.23583333333333/145.2738888888889,北海道,知床・阿寒,1254m,44度14分09秒,145度16分26秒
いおうざん,硫黄山,https://maps.gsi.go.jp/#15/44.13333333333333/145.1613888888889,北海道,知床・阿寒,1562m,44度08分00秒,145度09分41秒
ちえんべつだけ,知円別岳,https://maps.gsi.go.jp/#15/44.124722222222225/145.1686111111111,北海道,知床・阿寒,1544m,44度07分29秒,145度10分07秒
さしるいだけ,サシルイ岳,https://maps.gsi.go.jp/#15/44.09527777777778/145.1436111111111,北海道,知床・阿寒,1564m,44度05分43秒,145度08分37秒
らうすだけ,羅臼岳,https://maps.gsi.go.jp/#15/44.075833333333335/145.12222222222223,北海道,知床・阿寒,1661m,44度04分33秒,145度07分20秒
おんねべつだけ,遠音別岳,https://maps.gsi.go.jp/#15/43.99333333333333/145.01333333333332,北海道,知床・阿寒,1330m,43度59分36秒,145度00分48秒
うなべつだけ,海別岳,https://maps.gsi.go.jp/#15/43.87694444444445/144.87666666666666,北海道,知床・阿寒,1419m,43度52分37秒,144度52分36秒
しゃりだけ,斜里岳,https://maps.gsi.go.jp/#15/43.76555555555556/144.71777777777777,北海道,知床・阿寒,1547m,43度45分56秒,144度43分04秒
しべつだけ,標津岳,https://maps.gsi.go.jp/#15/43.668055555555554/144.70499999999998,北海道,知床・阿寒,1061m,43度40分05秒,144度42分18秒
もことやま,藻琴山,https://maps.gsi.go.jp/#15/43.70444444444445/144.3311111111111,北海道,知床・阿寒,1000m,43度42分16秒,144度19分52秒
あとさぬぷり（いおうざん）,アトサヌプリ（硫黄山）,https://maps.gsi.go.jp/#15/43.61027777777778/144.43861111111113,北海道,知床・阿寒,508m,43度36分37秒,144度26分19秒
かむいぬぷり（ましゅうだけ）,カムイヌプリ（摩周岳）,https://maps.gsi.go.jp/#15/43.57222222222222/144.56083333333333,北海道,知床・阿寒,857m,43度34分20秒,144度33分39秒
おあかんだけ,雄阿寒岳,https://maps.gsi.go.jp/#15/43.45416666666667/144.16472222222222,北海道,知床・阿寒,1370m,43度27分15秒,144度09分53秒
めあかんだけ,雌阿寒岳,https://maps.gsi.go.jp/#15/43.38638888888889/144.00861111111112,北海道,知床・阿寒,1499m,43度23分11秒,144度00分31秒
めあかんだけ,雌阿寒岳,https://maps.gsi.go.jp/#15/43.37416666666667/144.0063888888889,北海道,知床・阿寒,1476m,43度22分27秒,144度00分23秒
うこたきぬぷり,ウコタキヌプリ,https://maps.gsi.go.jp/#15/43.208333333333336/143.79749999999998,北海道,白糠丘陵,747m,43度12分30秒,143度47分51秒
れぶんだけ,礼文岳,https://maps.gsi.go.jp/#15/45.3725/141.01583333333335,北海道,礼文・利尻,490m,45度22分21秒,141度00分57秒
りしりざん（りしりふじ）,利尻山（利尻富士）,https://maps.gsi.go.jp/#15/45.17861111111111/141.24194444444444,北海道,礼文・利尻,1721m,45度10分43秒,141度14分31秒
ぽろしりやま,幌尻山,https://maps.gsi.go.jp/#15/45.16555555555556/142.00861111111112,北海道,宗谷丘陵,427m,45度09分56秒,142度00分31秒
ぱんけざん,パンケ山,https://maps.gsi.go.jp/#15/44.856944444444444/142.1497222222222,北海道,宗谷丘陵,632m,44度51分25秒,142度08分59秒
ぽろぬぷりざん,ポロヌプリ山,https://maps.gsi.go.jp/#15/44.961666666666666/142.42027777777775,北海道,北見山地,841m,44度57分42秒,142度25分13秒
びんねしりだけ,敏音知岳,https://maps.gsi.go.jp/#15/44.893055555555556/142.23444444444442,北海道,北見山地,703m,44度53分35秒,142度14分04秒
はこだけ,函岳,https://maps.gsi.go.jp/#15/44.66583333333333/142.41222222222223,北海道,北見山地,1129m,44度39分57秒,142度24分44秒
ぴやしりやま,ピヤシリ山,https://maps.gsi.go.jp/#15/44.433611111111105/142.58416666666667,北海道,北見山地,987m,44度26分01秒,142度35分03秒
うつだけ,欝岳,https://maps.gsi.go.jp/#15/44.291666666666664/143.0825,北海道,北見山地,818m,44度17分30秒,143度04分57秒
うぇんしりだけ,ウェンシリ岳,https://maps.gsi.go.jp/#15/44.22888888888889/142.8763888888889,北海道,北見山地,1142m,44度13分44秒,142度52分35秒
しょこつだけ,渚滑岳,https://maps.gsi.go.jp/#15/44.040277777777774/142.9175,北海道,北見山地,1345m,44度02分25秒,142度55分03秒
てしおだけ,天塩岳,https://maps.gsi.go.jp/#15/43.964444444444446/142.88805555555555,北海道,北見山地,1558m,43度57分52秒,142度53分17秒
ちとかにうしやま,チトカニウシ山,https://maps.gsi.go.jp/#15/43.906666666666666/143.04861111111111,北海道,北見山地,1446m,43度54分24秒,143度02分55秒
にころやま,仁頃山,https://maps.gsi.go.jp/#15/43.87833333333333/143.71833333333333,北海道,北見山地,829m,43度52分42秒,143度43分06秒
にせいかうしゅっぺやま,ニセイカウシュッペ山,https://maps.gsi.go.jp/#15/43.78/142.98527777777775,北海道,石狩山地,1883m,43度46分48秒,142度59分07秒
むりいだけ,武利岳,https://maps.gsi.go.jp/#15/43.73305555555556/143.17638888888888,北海道,石狩山地,1876m,43度43分59秒,143度10分35秒
むかやま,武華山,https://maps.gsi.go.jp/#15/43.70583333333334/143.16055555555556,北海道,石狩山地,1759m,43度42分21秒,143度09分38秒
きたみふじ,北見富士,https://maps.gsi.go.jp/#15/43.69361111111111/143.29583333333332,北海道,石狩山地,1291m,43度41分37秒,143度17分45秒
たいせつざん,大雪山,https://maps.gsi.go.jp/#15/43.66361111111111/142.85416666666666,北海道,石狩山地,2291m,43度39分49秒,142度51分15秒
たいせつざん,大雪山,https://maps.gsi.go.jp/#15/43.6975/142.92027777777775,北海道,石狩山地,1984m,43度41分51秒,142度55分13秒
たいせつざん,大雪山,https://maps.gsi.go.jp/#15/43.69277777777778/142.87972222222223,北海道,石狩山地,2244m,43度41分34秒,142度52分47秒
たいせつざん,大雪山,https://maps.gsi.go.jp/#15/43.70777777777778/142.85722222222222,北海道,石狩山地,2113m,43度42分28秒,142度51分26秒
たいせつざん,大雪山,https://maps.gsi.go.jp/#15/43.66111111111111/142.90583333333333,北海道,石狩山地,2230m,43度39分40秒,142度54分21秒
